Compound,SampID,Area,blk.threshold,min.area.flag,blk.ratio.flag,slope,nM_in_vial
Me-B12,241121_Std_0nM_UCYNA_B12_1,592,2128,Flag,Flag,1375386.705772114,4.3042440174500835e-4
Me-B12,241121_Std_0nM_UCYNA_B12_2,815,2128,Flag,Flag,1375386.705772114,5.925606206455774e-4
Me-B12,241121_Std_1nM_UCYNA_B12_1,991664,2128,NA,NA,1375386.705772114,0.7210074052906452
Me-B12,241121_Std_1nM_UCYNA_B12_2,1058056,2128,NA,NA,1375386.705772114,0.7692789202917509
Me-B12,241121_Std_5nM_UCYNA_B12_1,6236200,2128,NA,NA,1375386.705772114,4.5341429968956435
Me-B12,241121_Std_5nM_UCYNA_B12_2,6604129,2128,NA,NA,1375386.705772114,4.801652489648412
Me-B12,241121_Std_10nM_UCYNA_B12_1,8480804,2128,NA,NA,1375386.705772114,6.166123290568706
Me-B12,241121_Std_10nM_UCYNA_B12_2,11652807,2128,NA,NA,1375386.705772114,8.472385948690956
Me-B12,241121_Std_20nM_UCYNA_B12_1,26770146,2128,NA,NA,1375386.705772114,19.463723102494136
Me-B12,241121_Std_20nM_UCYNA_B12_2,29362616,2128,NA,NA,1375386.705772114,21.34862571869664
Me-B12,241121_Std_50nM_RP-Mix234_InH2O,11381,2128,Flag,NA,1375386.705772114,0.008274763709898547
Me-B12,241121_Poo_UCYNA-culture_Full1,239068,2128,NA,NA,1375386.705772114,0.1738187514803643
Me-B12,241121_Poo_UCYNA-culture_Full2,229907,2128,NA,NA,1375386.705772114,0.1671580792770095
Me-B12,241121_Poo_UCYNA-culture_Full3,214236,2128,NA,NA,1375386.705772114,0.15576419279095205
Me-B12,241121_Smp_UCYNA_Z-2,542,2128,Flag,Flag,1375386.705772114,3.9407098943546374e-4
Me-B12,241121_Smp_UCYNA_Z-4,1460,2128,Flag,Flag,1375386.705772114,0.001061519639438703
Me-B12,241121_Smp_UCYNA_Z-7,22,2128,Flag,Flag,1375386.705772114,1.5995501416199636e-5
Me-B12,241121_Smp_UCYNA_Z-12,617,2128,Flag,Flag,1375386.705772114,4.4860110789978066e-4
Me-B12,241121_Smp_UCYNA_Z-13,1142,2128,Flag,Flag,1375386.705772114,8.303119371499992e-4
Me-B12,241121_Smp_UCYNA_Z-17,473,2128,Flag,Flag,1375386.705772114,3.4390328044829214e-4
Me-B12,241121_Smp_UCYNA_Z-19,401937,2128,NA,NA,1375386.705772114,0.2922356296692288
