Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
241121_Std_0nM_UCYNA_B12_1,B12,Me-B12,673.0872,665.5684,7.49,31,38,7.46,7.54,18
241121_Std_0nM_UCYNA_B12_2,B12,Me-B12,673.0872,665.5684,7.48,20,0,7.44,7.5,9
241121_Std_1nM_UCYNA_B12_1,B12,Me-B12,673.0872,665.5684,7.46,679489,9043,7.4,7.52,264176
241121_Std_1nM_UCYNA_B12_2,B12,Me-B12,673.0872,665.5684,7.45,733071,2034,7.39,7.52,287018
241121_Std_5nM_UCYNA_B12_1,B12,Me-B12,673.0872,665.5684,7.45,4191643,77173,7.4,7.53,1669368
241121_Std_5nM_UCYNA_B12_2,B12,Me-B12,673.0872,665.5684,7.45,4586764,58922,7.4,7.53,1793129
241121_Std_10nM_UCYNA_B12_1,B12,Me-B12,673.0872,665.5684,7.45,5851967,38697,7.4,7.52,2319709
241121_Std_10nM_UCYNA_B12_2,B12,Me-B12,673.0872,665.5684,7.45,7995646,127963,7.4,7.53,3145960
241121_Std_20nM_UCYNA_B12_1,B12,Me-B12,673.0872,665.5684,7.45,18491224,160038,7.4,7.52,7199571
241121_Std_20nM_UCYNA_B12_2,B12,Me-B12,673.0872,665.5684,7.45,20273734,258306,7.4,7.53,7841255
241121_Std_50nM_RP-Mix234_InH2O,B12,Me-B12,673.0872,665.5684,7.46,6444,3,7.4,7.52,3777
241121_Poo_UCYNA-culture_Full1,B12,Me-B12,673.0872,665.5684,7.45,175192,55,7.39,7.52,71524
241121_Poo_UCYNA-culture_Full2,B12,Me-B12,673.0872,665.5684,7.45,167909,93,7.4,7.52,67594
241121_Poo_UCYNA-culture_Full3,B12,Me-B12,673.0872,665.5684,7.47,146073,896,7.4,7.53,51609
241121_Smp_UCYNA_Z-2,B12,Me-B12,673.0872,665.5684,7.46,19,24,7.41,7.47,17
241121_Smp_UCYNA_Z-4,B12,Me-B12,673.0872,665.5684,7.41,11,33,7.41,7.48,14
241121_Smp_UCYNA_Z-7,B12,Me-B12,673.0872,665.5684,7.4,17,0,7.37,7.45,8
241121_Smp_UCYNA_Z-12,B12,Me-B12,673.0872,665.5684,7.46,14,4,7.44,7.48,12
241121_Smp_UCYNA_Z-13,B12,Me-B12,673.0872,665.5684,7.43,158,28,7.43,7.5,465
241121_Smp_UCYNA_Z-17,B12,Me-B12,673.0872,665.5684,7.45,5,0,7.45,7.47,16
241121_Smp_UCYNA_Z-19,B12,Me-B12,673.0872,665.5684,7.45,286036,2304,7.4,7.52,121369
241121_Smp_UCYNA_Z-20,B12,Me-B12,673.0872,665.5684,7.45,234379,24,7.39,7.53,97837
241121_Smp_UCYNA_Z-21,B12,Me-B12,673.0872,665.5684,7.45,171,4,7.44,7.5,256
241121_Smp_UCYNA_Z-22,B12,Me-B12,673.0872,665.5684,7.45,661844,6327,7.39,7.52,256193
241121_Smp_UCYNA_Z-23,B12,Me-B12,673.0872,665.5684,7.45,686353,7035,7.39,7.52,276614
241121_Smp_UCYNA_Z-24,B12,Me-B12,673.0872,665.5684,7.45,579522,3503,7.4,7.52,229967
241121_Smp_UCYNA_Z-25,B12,Me-B12,673.0872,665.5684,7.47,15,0,7.47,7.51,12
241121_Smp_UCYNA_Z-26,B12,Me-B12,673.0872,665.5684,7.5,10,0,7.49,7.54,8
241121_Smp_UCYNA_Z-27,B12,Me-B12,673.0872,665.5684,7.48,121,17,7.48,7.52,177
241121_Smp_UCYNA_Z-28,B12,Me-B12,673.0872,665.5684,7.52,13,7,7.52,7.6,17
241121_Smp_UCYNA_Z-29,B12,Me-B12,673.0872,665.5684,7.53,30,0,7.47,7.56,16
241121_Smp_UCYNA_Z-30,B12,Me-B12,673.0872,665.5684,7.46,129109,55,7.4,7.53,51790
241121_Smp_UCYNA_Z-31,B12,Me-B12,673.0872,665.5684,7.45,162631,54,7.4,7.52,66112
241121_Smp_UCYNA_Z-32,B12,Me-B12,673.0872,665.5684,7.45,184980,0,7.39,7.52,75654
241121_Smp_UCYNA_Z-33,B12,Me-B12,673.0872,665.5684,7.44,7,8,7.44,7.49,11
241121_Smp_UCYNA_Z-34,B12,Me-B12,673.0872,665.5684,7.46,349852,7587,7.4,7.53,128390
241121_Smp_UCYNA_Z-35,B12,Me-B12,673.0872,665.5684,7.45,95652,0,7.39,7.54,35966
241121_Smp_UCYNA_Z-36,B12,Me-B12,673.0872,665.5684,7.45,242852,867,7.4,7.54,101150
241121_Smp_UCYNA_Z-37,B12,Me-B12,673.0872,665.5684,7.51,3,19,7.5,7.56,2
241121_Smp_UCYNA_Z-38,B12,Me-B12,673.0872,665.5684,7.53,17,10,7.49,7.54,15
241121_Smp_UCYNA_Z-39,B12,Me-B12,673.0872,665.5684,7.55,1,16,7.5,7.55,2
241121_Smp_UCYNA_Z-40,B12,Me-B12,673.0872,665.5684,7.48,16,0,7.45,7.52,14
241121_Smp_UCYNA_Z-41,B12,Me-B12,673.0872,665.5684,7.5,19,46,7.43,7.52,11
241121_Smp_UCYNA_Z-42,B12,Me-B12,673.0872,665.5684,7.48,2,0,7.45,7.48,5
241121_Std_0nM_UCYNA_B12_1,B12,Me-B12,673.0872,147.1484,7.49,592,192,7.46,7.54,503
241121_Std_0nM_UCYNA_B12_2,B12,Me-B12,673.0872,147.1484,7.46,815,25,7.44,7.5,722
241121_Std_1nM_UCYNA_B12_1,B12,Me-B12,673.0872,147.1484,7.46,991664,8688,7.4,7.52,389750
241121_Std_1nM_UCYNA_B12_2,B12,Me-B12,673.0872,147.1484,7.45,1058056,6064,7.39,7.52,413496
241121_Std_5nM_UCYNA_B12_1,B12,Me-B12,673.0872,147.1484,7.45,6236200,66044,7.4,7.53,2452892
241121_Std_5nM_UCYNA_B12_2,B12,Me-B12,673.0872,147.1484,7.46,6604129,54099,7.4,7.53,2539172
241121_Std_10nM_UCYNA_B12_1,B12,Me-B12,673.0872,147.1484,7.45,8480804,112339,7.4,7.52,3403016
241121_Std_10nM_UCYNA_B12_2,B12,Me-B12,673.0872,147.1484,7.46,11652807,159193,7.4,7.53,4538140
241121_Std_20nM_UCYNA_B12_1,B12,Me-B12,673.0872,147.1484,7.45,26770146,213549,7.4,7.52,10425547
241121_Std_20nM_UCYNA_B12_2,B12,Me-B12,673.0872,147.1484,7.45,29362616,369013,7.4,7.53,11479549
241121_Std_50nM_RP-Mix234_InH2O,B12,Me-B12,673.0872,147.1484,7.44,11381,156,7.4,7.52,6079
241121_Poo_UCYNA-culture_Full1,B12,Me-B12,673.0872,147.1484,7.45,239068,0,7.39,7.52,94222
241121_Poo_UCYNA-culture_Full2,B12,Me-B12,673.0872,147.1484,7.45,229907,2714,7.4,7.52,93807
241121_Poo_UCYNA-culture_Full3,B12,Me-B12,673.0872,147.1484,7.46,214236,4782,7.4,7.53,80063
241121_Smp_UCYNA_Z-2,B12,Me-B12,673.0872,147.1484,7.43,542,2,7.41,7.47,328
241121_Smp_UCYNA_Z-4,B12,Me-B12,673.0872,147.1484,7.42,1460,76,7.41,7.48,986
241121_Smp_UCYNA_Z-7,B12,Me-B12,673.0872,147.1484,7.45,22,225,7.37,7.45,16
241121_Smp_UCYNA_Z-12,B12,Me-B12,673.0872,147.1484,7.47,617,3,7.44,7.48,652
241121_Smp_UCYNA_Z-13,B12,Me-B12,673.0872,147.1484,7.45,1142,0,7.43,7.5,575
241121_Smp_UCYNA_Z-17,B12,Me-B12,673.0872,147.1484,7.46,473,10,7.45,7.47,567
241121_Smp_UCYNA_Z-19,B12,Me-B12,673.0872,147.1484,7.45,401937,5889,7.4,7.52,165774
241121_Smp_UCYNA_Z-20,B12,Me-B12,673.0872,147.1484,7.46,317765,1613,7.39,7.53,120124
241121_Smp_UCYNA_Z-21,B12,Me-B12,673.0872,147.1484,7.46,1127,126,7.44,7.5,534
241121_Smp_UCYNA_Z-22,B12,Me-B12,673.0872,147.1484,7.45,880648,7991,7.39,7.52,339164
241121_Smp_UCYNA_Z-23,B12,Me-B12,673.0872,147.1484,7.45,918377,12672,7.39,7.52,356940
241121_Smp_UCYNA_Z-24,B12,Me-B12,673.0872,147.1484,7.45,829908,13636,7.4,7.52,324329
241121_Smp_UCYNA_Z-25,B12,Me-B12,673.0872,147.1484,7.48,1130,14,7.47,7.51,1007
241121_Smp_UCYNA_Z-26,B12,Me-B12,673.0872,147.1484,7.52,367,179,7.49,7.54,428
241121_Smp_UCYNA_Z-27,B12,Me-B12,673.0872,147.1484,7.5,119,289,7.48,7.52,230
241121_Smp_UCYNA_Z-28,B12,Me-B12,673.0872,147.1484,7.55,829,0,7.52,7.6,777
241121_Smp_UCYNA_Z-29,B12,Me-B12,673.0872,147.1484,7.51,774,0,7.47,7.56,601
241121_Smp_UCYNA_Z-30,B12,Me-B12,673.0872,147.1484,7.45,202376,21,7.4,7.53,71350
241121_Smp_UCYNA_Z-31,B12,Me-B12,673.0872,147.1484,7.45,239903,353,7.4,7.52,90857
241121_Smp_UCYNA_Z-32,B12,Me-B12,673.0872,147.1484,7.45,254512,6812,7.39,7.52,97442
241121_Smp_UCYNA_Z-33,B12,Me-B12,673.0872,147.1484,7.46,1774,40,7.44,7.49,1666
241121_Smp_UCYNA_Z-34,B12,Me-B12,673.0872,147.1484,7.45,495975,8532,7.4,7.53,204120
241121_Smp_UCYNA_Z-35,B12,Me-B12,673.0872,147.1484,7.47,124159,740,7.39,7.54,45749
241121_Smp_UCYNA_Z-36,B12,Me-B12,673.0872,147.1484,7.46,307939,3834,7.4,7.54,119557
241121_Smp_UCYNA_Z-37,B12,Me-B12,673.0872,147.1484,7.54,557,12,7.5,7.56,483
241121_Smp_UCYNA_Z-38,B12,Me-B12,673.0872,147.1484,7.51,355,4,7.49,7.54,393
241121_Smp_UCYNA_Z-39,B12,Me-B12,673.0872,147.1484,7.53,725,6,7.5,7.55,529
241121_Smp_UCYNA_Z-40,B12,Me-B12,673.0872,147.1484,7.48,296,8,7.45,7.52,282
241121_Smp_UCYNA_Z-41,B12,Me-B12,673.0872,147.1484,7.46,1376,16,7.43,7.52,1105
241121_Smp_UCYNA_Z-42,B12,Me-B12,673.0872,147.1484,7.45,569,6,7.45,7.48,804
241121_Std_0nM_UCYNA_B12_1,B12,Ado-B12,790.7234,665.6158,6.33,569,66,6.27,6.36,479
241121_Std_0nM_UCYNA_B12_2,B12,Ado-B12,790.7234,665.6158,6.35,225,56,6.27,6.35,215
241121_Std_1nM_UCYNA_B12_1,B12,Ado-B12,790.7234,665.6158,6.34,500169,1209,6.3,6.43,201768
241121_Std_1nM_UCYNA_B12_2,B12,Ado-B12,790.7234,665.6158,6.35,519056,3115,6.3,6.42,215788
241121_Std_5nM_UCYNA_B12_1,B12,Ado-B12,790.7234,665.6158,6.35,2778363,12302,6.29,6.42,1113077
241121_Std_5nM_UCYNA_B12_2,B12,Ado-B12,790.7234,665.6158,6.35,2820278,31026,6.3,6.42,1109161
241121_Std_10nM_UCYNA_B12_1,B12,Ado-B12,790.7234,665.6158,6.34,4049472,62787,6.3,6.42,1636914
241121_Std_10nM_UCYNA_B12_2,B12,Ado-B12,790.7234,665.6158,6.35,5623369,76613,6.3,6.42,2285212
241121_Std_20nM_UCYNA_B12_1,B12,Ado-B12,790.7234,665.6158,6.35,12377850,239176,6.3,6.41,4955728
